iter	RMSE
279	6.138321872
280	6.133629062
281	6.129669114
282	6.12637549
283	6.122440474
284	6.117838042
285	6.113181574
286	6.108943378
287	6.102900116
288	6.098339145
289	6.093782053
290	6.088618789
291	6.08597448
292	6.080146927
293	6.075982926
294	6.071388412
295	6.066744295
296	6.064951921
297	6.060622029
298	6.056734142
299	6.05366415
300	6.049706996
301	6.045231314
302	6.042301366
303	6.037514867
304	6.034198897
305	6.030063366
306	6.026554526
307	6.023961102
308	6.019267476
309	6.017338983
310	6.014442682
311	6.010017435
312	6.005855859
313	6.003518954
314	5.998478587
315	5.994841925
316	5.989925328
317	5.98504964
318	5.983303526
319	5.980141414
320	5.976773828
321	5.97288613
322	5.970601673
323	5.96725242
324	5.963294043
325	5.959984825
326	5.952413218
327	5.949307884
328	5.946087796
329	5.941884542
330	5.940493554
331	5.937499608
332	5.934085815
333	5.930105808
334	5.926252416
335	5.924295807
336	5.922353156
337	5.918551157
338	5.913346513
339	5.909682495
340	5.907098075
341	5.904240605
342	5.901465382
343	5.897059681
344	5.893178833
345	5.889898085
346	5.886224581
347	5.881253157
348	5.877829223
349	5.87418893
350	5.86986362
351	5.866763533
352	5.861817915
353	5.857511162
354	5.856058112
355	5.852633739
356	5.849269645
357	5.843858672
358	5.840636652
359	5.839325461
360	5.833885743
361	5.828725328
362	5.824840342
363	5.820752715
364	5.816807934
365	5.813071212
366	5.810701738
367	5.806117451
368	5.802395156
369	5.797431819
370	5.792404657
371	5.789253063
372	5.784048583
373	5.779810128
374	5.775789299
375	5.773012326
376	5.768679384
377	5.765148535
378	5.76201603
379	5.758082036
380	5.755130147
381	5.75109928
382	5.747729908
383	5.744345557
384	5.741672093
385	5.737097796
386	5.732543409
387	5.728909937
388	5.726226056
389	5.721422305
390	5.718323042
391	5.71497459
392	5.71334934
393	5.70970588
394	5.709549122
395	5.705995105
396	5.7029372
397	5.699670367
398	5.69445807
399	5.690767176
